,hh_key,hhincome_eq_percapita
307,10-1069564,low
308,10-1069578,low
309,10-1069582,high
310,10-1070506,high
311,10-1070538,high
312,10-1070546,high
313,10-1070569,medium
314,10-1070574,high
315,10-1070578,high
316,10-1070585,low
317,10-1070590,high
318,10-1070591,high
319,10-1070595,medium
320,10-1070597,high
321,10-1071516,medium
322,10-1071517,medium
323,10-1071520,medium
324,10-1071521,medium
325,10-1071531,medium
326,10-1071536,medium
327,10-1071543,high
328,10-1072511,low
329,10-1072515,high
330,10-1072519,high
331,10-1072523,medium
332,10-1072524,low
333,10-1073501,low
334,10-1073502,low
335,10-1073510,low
336,10-1073520,low
337,10-1074503,medium
338,10-1074505,medium
339,10-1074519,low
340,10-1074525,high
341,10-1074531,low
342,10-1074541,medium
343,10-1074570,medium
344,10-1075504,low
345,10-1075505,medium
346,10-1075506,high
347,10-1076518,high
348,10-1077502,medium
349,10-1077510,medium
350,10-1078501,low
351,10-1078502,high
352,10-1078503,medium
353,10-1078509,low
354,10-1079502,high
355,10-1079530,low
356,10-1080510,low
357,10-1080512,medium
358,10-1080515,high
359,10-1080518,medium
360,10-1080523,low
361,10-1081501,medium
362,10-1081503,low
363,10-1081513,high
364,10-1082504,medium
365,10-1082520,medium
366,10-1082521,low
367,10-1083522,medium
368,10-1083525,medium
369,10-1084513,low
370,10-1084514,high
371,10-1084528,medium
372,10-1084536,low
373,10-1084550,medium
374,10-1085505,high
375,10-1085509,medium
376,10-1085527,low
377,10-1085530,medium
378,10-1085537,high
379,10-1085561,medium
380,10-1085570,medium
381,10-1085584,medium
382,10-1085602,medium
383,10-1086502,high
384,10-1086504,low
385,10-1086510,medium
386,10-1087501,medium
387,10-1087502,low
388,10-1087503,medium
389,10-1087505,medium
390,10-1087506,medium
391,10-1088510,low
392,10-1088514,low
393,10-1088515,high
394,10-1088516,high
395,10-1089501,high
396,10-1089511,medium
397,10-1089522,medium
398,10-1089530,medium
399,10-1089536,low
400,10-1089571,low
401,10-1089572,low
402,10-1090501,high
403,10-1090509,medium
404,10-1091505,low
405,10-1092501,low
406,10-1092504,low
407,10-1093501,low
408,10-1093502,low
409,10-1093515,medium
410,10-1093519,medium
411,10-1093538,low
412,10-1093542,low
413,10-1093549,low
414,10-1094501,high
415,10-1094508,low
416,10-1094515,low
417,10-1094518,low
418,10-1094533,medium
419,10-1094536,low
420,10-1094540,high
421,10-1095502,high
422,10-1095503,high
423,10-1095504,low
424,10-1095505,high
425,10-1096501,high
426,10-1096506,high
427,10-1096529,low
428,10-1096530,low
429,10-1096533,medium
430,10-1096540,medium
431,10-1096543,medium
432,10-1097501,low
433,10-1097502,low
434,10-1097503,low
435,10-1097504,low
436,10-1098505,medium
437,10-1098508,high
438,10-1098509,high
439,10-1100501,low
440,10-1100503,low
441,10-1100505,medium
442,10-1102503,high
443,10-1102509,low
444,10-1102510,low
445,10-1103501,low
446,10-1103505,medium
447,10-1103508,high
448,10-1103511,high
449,10-1104502,high
450,10-1104503,low
451,10-1104504,low
452,10-1108505,high
453,10-1108507,medium
454,10-1108508,low
455,10-1108509,low
456,10-1108510,high
457,10-1108511,high
458,10-1108513,medium
459,10-1108515,medium
460,10-1108517,high
461,10-1109510,low
462,10-1109513,low
463,10-1109519,low
464,10-1109520,high
465,10-1109527,high
466,10-1109536,medium
467,10-1109544,high
468,10-1109549,low
469,10-1109557,medium
470,10-1109561,high
471,10-1109566,high
472,10-1109567,medium
473,10-1109573,medium
474,10-1109574,low
475,10-1109575,high
476,10-1111504,high
477,10-1111505,medium
478,10-1111525,medium
479,10-1111532,high
480,10-1111533,medium
481,10-1111540,high
482,10-1111545,high
483,10-1111551,medium
484,10-1111554,high
485,10-1111586,medium
486,10-281095,medium
487,10-281104,medium
488,10-281218,low
489,10-281229,high
490,10-281243,low
491,10-281286,high
492,10-281326,high
493,10-281329,high
494,10-281333,high
495,10-281344,low
496,10-281360,medium
497,10-281369,low
498,10-281370,high
499,10-283027,medium
500,10-283047,low
501,10-283053,low
502,10-283058,low
503,10-328008,high
504,10-328029,low
505,10-328063,high
506,10-338011,medium
507,10-338024,high
508,10-348021,medium
509,10-348031,medium
510,10-348037,high
511,10-348503,high
512,10-348504,medium
513,10-350000,high
514,10-350006,high
515,10-350010,low
516,10-350030,medium
517,10-350041,medium
518,10-350042,medium
519,10-350057,low
520,10-352000,low
521,10-352006,medium
522,10-352014,high
523,10-352016,low
524,10-352018,low
525,10-352031,low
526,10-353000,medium
527,10-353001,medium
528,10-353003,high
529,10-353027,low
530,10-355025,low
531,10-356001,high
532,10-356006,medium
533,10-356035,high
534,10-358020,medium
535,10-358025,low
536,10-358035,medium
537,10-358036,low
538,10-358038,low
539,10-358500,medium
540,10-359010,high
541,10-359013,medium
542,10-359018,medium
543,10-359041,low
544,10-359042,low
545,10-359048,medium
546,10-359049,low
547,10-359057,high
548,10-360016,medium
549,10-360030,high
550,10-360031,high
551,10-361015,high
552,10-361033,high
553,10-361042,high
554,10-361051,high
555,10-363005,low
556,10-363503,medium
557,10-363505,low
558,10-363506,medium
559,10-364007,medium
560,10-364021,high
561,10-364024,medium
562,10-364026,high
563,10-368000,low
564,10-368013,medium
565,10-368021,medium
566,10-368043,high
567,10-368050,medium
568,10-368053,low
569,10-371019,medium
570,10-371027,medium
571,10-371029,low
572,10-372000,low
573,10-372022,high
574,10-372035,medium
575,10-372037,high
576,10-372038,low
577,10-377023,low
578,10-377027,low
579,10-377514,low
580,10-377517,medium
581,10-377518,low
582,10-377525,high
583,10-378003,medium
584,10-378009,medium
585,10-378023,high
586,10-378037,low
587,10-380057,medium
588,10-380082,low
589,10-381000,medium
590,10-381002,low
591,10-381003,high
592,10-381014,low
593,10-381026,medium
594,10-382016,medium
595,10-382019,high
596,10-382033,high
597,10-382046,medium
598,10-382055,medium
599,10-384029,low
600,10-384030,medium
601,10-385005,low
602,10-385017,medium
603,10-385024,high
604,10-386001,low
605,10-386020,medium
606,10-386028,medium
607,10-386031,medium
608,10-389011,high
609,10-389023,medium
610,10-389030,low
611,10-502505,medium
612,10-502510,high
613,10-502516,medium
614,10-502528,high
615,10-507514,medium
616,10-507531,high
617,10-507533,low
618,10-508514,medium
619,10-508520,low
620,10-508523,medium
621,10-508525,low
622,10-508531,high
623,10-508551,high
624,10-511503,low
625,10-511518,high
626,10-511520,high
627,10-511521,medium
628,10-511527,high
629,10-511529,low
630,10-512501,medium
631,10-512518,low
632,10-512528,medium
633,10-513521,medium
634,10-513524,medium
635,10-513528,high
636,10-513529,high
637,10-513532,low
638,10-513564,high
639,10-513575,high
640,10-513577,medium
641,10-513609,low
642,10-513611,high
643,10-513615,high
644,10-513654,medium
645,10-513658,high
646,10-513659,medium
647,10-513662,high
648,10-513664,medium
649,10-514509,low
650,10-514512,medium
651,10-515501,low
652,10-515517,low
653,10-517501,medium
654,10-517513,medium
655,10-517525,medium
656,10-517531,medium
657,10-518505,medium
658,10-518508,low
659,10-518518,medium
660,10-518534,medium
661,10-518536,low
662,10-519539,medium
663,10-519540,high
664,10-519546,medium
665,10-519552,high
666,10-520510,low
667,10-520513,low
668,10-521501,low
669,10-521523,low
670,10-521524,low
671,10-522505,medium
672,10-522506,medium
673,10-522528,low
674,10-522535,medium
675,10-522541,medium
676,10-523504,low
677,10-523520,high
678,10-523544,low
679,10-524512,high
680,10-524518,low
681,10-524526,low
682,10-524528,low
683,10-524535,medium
684,10-524541,low
685,10-524543,medium
686,10-524548,low
687,10-525507,medium
688,10-525512,medium
689,10-525513,high
690,10-526512,high
691,10-526514,medium
692,10-526516,high
693,10-526525,high
694,10-527503,high
695,10-527516,high
696,10-527523,high
697,10-528508,high
698,10-528510,medium
699,10-528519,medium
700,10-528520,low
701,10-528525,high
702,10-528529,low
703,10-528530,high
704,10-528531,low
705,10-528536,medium
706,10-529502,low
707,10-529504,high
708,10-529509,high
709,10-529526,high
710,10-529541,high
711,10-530510,high
712,10-530519,medium
713,10-530522,high
714,10-530554,low
715,10-530556,high
716,10-531507,high
717,10-531509,medium
718,10-531510,high
719,10-531513,high
720,10-531518,high
721,10-531523,low
722,10-531526,high
723,10-531528,high
724,10-531542,medium
725,10-531548,high
726,10-531555,low
727,10-531557,high
728,10-531559,medium
729,10-532502,medium
730,10-532536,high
731,10-532551,high
732,10-532588,medium
733,10-532592,medium
734,10-533513,high
735,10-533524,low
736,10-533526,high
737,10-534501,low
738,10-534508,medium
739,10-534511,medium
740,10-534521,high
741,10-534522,high
742,10-535518,medium
743,10-535520,medium
744,10-535537,low
745,10-536504,medium
746,10-536505,high
747,10-536520,low
748,10-536521,high
749,10-536526,high
750,10-537506,medium
751,10-537508,high
752,10-537526,medium
753,10-537534,high
754,10-538502,high
755,10-538506,medium
756,10-538521,high
757,10-538542,medium
758,10-539510,high
759,10-539513,medium
760,10-539546,medium
761,10-539548,medium
762,10-540502,high
763,10-540506,medium
764,10-540510,high
765,10-540512,high
766,10-540514,high
767,10-540521,medium
768,10-540524,low
769,10-540530,high
770,10-541503,medium
771,10-541530,low
772,10-541535,medium
773,10-541540,low
774,10-541541,low
775,10-541543,low
776,10-541547,medium
777,10-542504,medium
778,10-542510,medium
779,10-542514,high
780,10-542535,medium
781,10-542539,medium
782,10-542548,high
783,10-543510,medium
784,10-543517,medium
785,10-543523,high
786,10-543539,medium
787,10-543546,high
788,10-543547,medium
789,10-544516,medium
790,10-544523,low
791,10-544546,low
792,10-544556,high
793,10-544561,low
794,10-545502,high
795,10-545508,high
796,10-545510,medium
797,10-545527,high
798,10-545536,low
799,10-545538,high
800,10-545559,medium
801,10-545561,high
802,10-545581,low
803,10-546502,medium
804,10-546506,medium
805,10-546516,high
806,10-546531,high
807,10-546534,medium
808,10-546552,medium
809,10-546573,high
810,10-546575,medium
811,10-546584,medium
812,10-547503,high
813,10-547506,low
814,10-547524,medium
815,10-547529,medium
816,10-547551,medium
817,10-547559,low
818,10-547561,medium
819,10-547565,high
820,10-547578,medium
821,10-547580,high
822,10-547584,low
823,10-547589,high
824,10-548501,low
825,10-548503,medium
826,10-548510,high
827,10-548516,low
828,10-548530,low
829,10-548534,high
830,10-548546,medium
831,10-548548,low
832,10-548564,high
833,10-548566,high
834,10-548583,high
835,10-548593,low
836,10-548594,medium
837,10-548595,low
838,10-548606,low
839,10-548608,high
840,10-548622,medium
841,10-548626,medium
842,10-548628,medium
843,10-548632,high
844,10-548646,low
845,10-548661,low
846,10-549509,high
847,10-549514,high
848,10-549517,low
849,10-549518,medium
850,10-550501,medium
851,10-550504,high
852,10-550507,low
853,10-550509,high
854,10-550523,low
855,10-551520,low
856,10-551525,low
857,10-551531,low
858,10-551538,high
859,10-551540,low
860,10-552501,high
861,10-552513,medium
862,10-552520,high
863,10-552521,medium
864,10-552537,low
865,10-552544,low
866,10-552548,high
867,10-553506,high
868,10-553511,medium
869,10-553516,high
870,10-553538,medium
871,10-553548,medium
872,10-553557,low
873,10-554505,high
874,10-554522,medium
875,10-554528,medium
876,10-554547,medium
877,10-554551,low
878,10-554556,high
879,10-554557,low
880,10-555508,high
881,10-555514,low
882,10-555528,low
883,10-556501,low
884,10-556523,high
885,10-556529,high
886,10-556531,low
887,10-556533,low
888,10-556546,low
889,10-556547,medium
890,10-556577,high
891,10-556580,medium
892,10-556581,low
893,10-557508,high
894,10-557511,high
895,10-557531,low
896,10-557533,low
897,10-557534,medium
898,10-557537,low
899,10-557545,high
900,10-557558,low
901,10-557566,medium
902,10-558514,high
903,10-558515,low
904,10-558525,medium
905,10-558531,low
906,10-558537,low
907,10-558544,medium
908,10-558549,high
909,10-558558,medium
910,10-558574,medium
911,10-558581,medium
912,10-561513,medium
913,10-561514,medium
914,10-561524,medium
915,10-562519,low
916,10-563511,medium
917,10-563513,medium
918,10-563523,high
919,10-563540,medium
920,10-565533,low
921,10-565537,high
922,10-566501,high
923,10-566520,medium
924,10-566529,high
925,10-566545,low
926,10-566552,low
927,10-567519,high
928,10-568502,medium
929,10-568515,low
930,10-568528,low
931,10-568540,low
932,10-568544,low
933,10-569511,medium
934,10-569525,low
935,10-569550,medium
936,10-570517,high
937,10-570519,high
938,10-570523,medium
939,10-570542,medium
940,10-570559,low
941,10-570575,high
942,10-571506,medium
943,10-571507,low
944,10-571511,low
945,10-571516,high
946,10-571517,medium
947,10-571546,medium
948,10-571553,medium
949,10-571555,medium
950,10-572503,medium
951,10-572542,low
952,10-572546,low
953,10-572548,low
954,10-572549,medium
955,10-572553,high
956,10-573547,low
957,10-573552,medium
958,10-573567,low
959,10-573568,medium
960,10-573572,medium
961,10-573597,high
962,10-573622,high
963,10-574505,medium
964,10-574514,medium
965,10-574538,high
966,10-574544,high
967,10-574569,low
968,10-574571,medium
969,10-574572,high
970,10-574573,high
971,10-574575,medium
972,10-574583,medium
973,10-574591,high
974,10-574613,high
975,10-575511,high
