,hh_key,hhincome_eq_percapita
6587,11-998523,low
6588,11-999507,high
6589,11-999510,high
6590,11-999514,medium
6591,11-999521,low
6592,11-999530,medium
6593,11-999531,low
6594,12-1002502,high
6595,12-1002503,low
6596,12-1002507,medium
6597,12-1002544,medium
6598,12-1002548,low
6599,12-1002554,low
6600,12-1002556,low
6601,12-1003509,high
6602,12-1003514,high
6603,12-1003516,medium
6604,12-1003526,high
6605,12-1003534,low
6606,12-1003542,medium
6607,12-1004501,high
6608,12-1004508,low
6609,12-1004516,high
6610,12-1004523,high
6611,12-1004530,low
6612,12-1004532,high
6613,12-1004538,medium
6614,12-1004540,high
6615,12-1005503,high
6616,12-1005511,high
6617,12-1005513,medium
6618,12-1005534,high
6619,12-1006504,high
6620,12-1008501,low
6621,12-1008502,low
6622,12-1008524,high
6623,12-1008544,medium
6624,12-1008559,medium
6625,12-1009506,low
6626,12-1009508,low
6627,12-1009514,low
6628,12-1009515,low
6629,12-1010509,medium
6630,12-1010514,medium
6631,12-1010528,medium
6632,12-1010532,low
6633,12-1010537,low
6634,12-1010538,medium
6635,12-1010544,medium
6636,12-1010567,low
6637,12-1010572,medium
6638,12-1010589,medium
6639,12-1011506,medium
6640,12-1011509,high
6641,12-1011510,medium
6642,12-1011516,low
6643,12-1012511,high
6644,12-1012541,medium
6645,12-1012543,low
6646,12-1013525,low
6647,12-1013551,low
6648,12-1014505,high
6649,12-1014506,low
6650,12-1014515,medium
6651,12-1014532,high
6652,12-1015515,medium
6653,12-1015521,low
6654,12-1015527,low
6655,12-1015541,medium
6656,12-1015544,high
6657,12-1015548,high
6658,12-1015561,medium
6659,12-1015568,high
6660,12-1015571,medium
6661,12-1015572,low
6662,12-1017502,medium
6663,12-1017528,low
6664,12-1017535,low
6665,12-1017556,low
6666,12-1017558,medium
6667,12-1017560,low
6668,12-1018509,medium
6669,12-1018510,high
6670,12-1018540,medium
6671,12-1019505,low
6672,12-1019512,medium
6673,12-1019529,low
6674,12-1019531,medium
6675,12-1019547,low
6676,12-1019556,high
6677,12-1020521,low
6678,12-1020522,high
6679,12-1020531,low
6680,12-1020536,low
6681,12-1020549,low
6682,12-1020551,low
6683,12-1020557,low
6684,12-1023508,medium
6685,12-1023519,high
6686,12-1023526,medium
6687,12-1024506,medium
6688,12-1024524,high
6689,12-1024540,high
6690,12-1025504,medium
6691,12-1025505,low
6692,12-1025511,low
6693,12-1025523,high
6694,12-1025527,low
6695,12-1025552,medium
6696,12-1025554,high
6697,12-1025565,medium
6698,12-1025575,medium
6699,12-1025584,high
6700,12-1026508,medium
6701,12-1026512,high
6702,12-1026513,medium
6703,12-1026514,medium
6704,12-1026527,medium
6705,12-1026528,high
6706,12-1026533,high
6707,12-1026534,medium
6708,12-1026535,medium
6709,12-1027514,high
6710,12-1027519,high
6711,12-1027532,high
6712,12-1030517,high
6713,12-1030526,high
6714,12-1030551,high
6715,12-1030558,low
6716,12-1030582,high
6717,12-1030634,low
6718,12-1030647,medium
6719,12-1030654,low
6720,12-1031512,low
6721,12-1031527,high
6722,12-1031566,medium
6723,12-1031568,medium
6724,12-1031576,low
6725,12-1032519,high
6726,12-1032520,low
6727,12-1032524,low
6728,12-1033508,medium
6729,12-1033514,high
6730,12-1033519,medium
6731,12-1033534,medium
6732,12-1033539,low
6733,12-1033542,high
6734,12-1033560,high
6735,12-1033572,high
6736,12-1033576,medium
6737,12-1033580,medium
6738,12-1034517,low
6739,12-1034533,medium
6740,12-1034537,medium
6741,12-1035565,high
6742,12-1035622,medium
6743,12-1036507,medium
6744,12-1036509,medium
6745,12-1036513,high
6746,12-1036517,medium
6747,12-1036520,medium
6748,12-1036522,low
6749,12-1036529,high
6750,12-1037504,low
6751,12-1037514,low
6752,12-1037522,low
6753,12-1040526,medium
6754,12-1040568,low
6755,12-1042505,low
6756,12-1042514,medium
6757,12-1042516,high
6758,12-1042519,medium
6759,12-1042535,high
6760,12-1043509,low
6761,12-1043519,low
6762,12-1043549,low
6763,12-1043553,low
6764,12-1043557,low
6765,12-1043579,low
6766,12-1043584,low
6767,12-1043588,high
6768,12-1044501,medium
6769,12-1044527,high
6770,12-1044528,high
6771,12-1067503,low
6772,12-1067509,medium
6773,12-1067512,medium
6774,12-1067523,medium
6775,12-1067543,medium
6776,12-1067556,medium
6777,12-1067557,medium
6778,12-1067562,medium
6779,12-1068507,low
6780,12-1068512,low
6781,12-1068520,high
6782,12-1068528,medium
6783,12-1068531,medium
6784,12-1068540,high
6785,12-1069503,medium
6786,12-1069505,high
6787,12-1069508,high
6788,12-1069509,low
6789,12-1069516,high
6790,12-1069518,low
6791,12-1069530,low
6792,12-1069536,low
6793,12-1069539,high
6794,12-1069541,medium
6795,12-1069547,low
6796,12-1069553,low
6797,12-1069572,low
6798,12-1069574,low
6799,12-1069583,medium
6800,12-1070512,medium
6801,12-1070530,low
6802,12-1070535,high
6803,12-1070539,medium
6804,12-1070542,low
6805,12-1070558,high
6806,12-1070562,low
6807,12-1070563,high
6808,12-1070580,medium
6809,12-1070582,low
6810,12-1070587,medium
6811,12-1070588,high
6812,12-1071526,high
6813,12-1071528,high
6814,12-1071538,high
6815,12-1071550,high
6816,12-1072504,low
6817,12-1072506,medium
6818,12-1072520,low
6819,12-1072531,medium
6820,12-1072532,high
6821,12-1073503,high
6822,12-1073507,high
6823,12-1073512,low
6824,12-1074504,medium
6825,12-1074510,low
6826,12-1074511,high
6827,12-1074534,medium
6828,12-1074544,high
6829,12-1074546,medium
6830,12-1074557,low
6831,12-1074559,medium
6832,12-1074568,low
6833,12-1075508,low
6834,12-1075514,low
6835,12-1076501,low
6836,12-1076506,medium
6837,12-1077505,high
6838,12-1077511,low
6839,12-1077512,high
6840,12-1079521,low
6841,12-1079523,medium
6842,12-1079527,low
6843,12-1080511,low
6844,12-1080513,low
6845,12-1080514,medium
6846,12-1080520,medium
6847,12-1081506,medium
6848,12-1081510,low
6849,12-1081511,high
6850,12-1081517,medium
6851,12-1082522,low
6852,12-1082528,high
6853,12-1082533,high
6854,12-1083501,low
6855,12-1083502,high
6856,12-1083507,high
6857,12-1083510,medium
6858,12-1083512,low
6859,12-1083518,high
6860,12-1084504,high
6861,12-1084505,medium
6862,12-1084509,high
6863,12-1084519,low
6864,12-1084527,low
6865,12-1084553,medium
6866,12-1085507,low
6867,12-1085519,low
6868,12-1085522,medium
6869,12-1085524,medium
6870,12-1085533,low
6871,12-1085547,high
6872,12-1085555,low
6873,12-1085558,high
6874,12-1085608,high
6875,12-1088505,high
6876,12-1089515,high
6877,12-1089518,medium
6878,12-1089525,medium
6879,12-1089537,low
6880,12-1089548,medium
6881,12-1089550,medium
6882,12-1089556,low
6883,12-1089565,low
6884,12-1089567,low
6885,12-1089573,low
6886,12-1090505,high
6887,12-1090508,medium
6888,12-1090513,medium
6889,12-1090514,high
6890,12-1091501,low
6891,12-1091507,low
6892,12-1093506,medium
6893,12-1093513,low
6894,12-1093547,medium
6895,12-1094502,low
6896,12-1094503,low
6897,12-1094532,high
6898,12-1094539,low
6899,12-1094545,high
6900,12-1094552,medium
6901,12-1094554,high
6902,12-1094555,high
6903,12-1096512,high
6904,12-1096521,high
6905,12-1096555,low
6906,12-1096558,high
6907,12-1105509,high
6908,12-1105512,medium
6909,12-1105513,high
6910,12-1105514,high
6911,12-1106528,low
6912,12-1106547,low
6913,12-1106557,low
6914,12-1106558,low
6915,12-1106572,low
6916,12-1106606,low
6917,12-1107505,medium
6918,12-1107507,medium
6919,12-1107529,medium
6920,12-1107545,medium
6921,12-1107556,medium
6922,12-1107563,medium
6923,12-1109509,low
6924,12-1109516,low
6925,12-1109521,low
6926,12-1109535,low
6927,12-1109537,low
6928,12-1109554,high
6929,12-1109555,low
6930,12-1109559,high
6931,12-1109565,medium
6932,12-1109579,high
6933,12-1111516,medium
6934,12-1111521,medium
6935,12-1111522,high
6936,12-1111523,medium
6937,12-1111548,medium
6938,12-1111550,high
6939,12-1111558,low
6940,12-1111563,high
6941,12-1111573,high
6942,12-1111581,medium
6943,12-1111584,high
6944,12-1112508,medium
6945,12-1112521,low
6946,12-1112535,high
6947,12-1113505,high
6948,12-1113507,low
6949,12-1113522,high
6950,12-1113528,high
6951,12-1113531,high
6952,12-1113543,low
6953,12-1113564,high
6954,12-1113567,high
6955,12-1113570,high
6956,12-1113573,high
6957,12-1113579,high
6958,12-1113582,high
6959,12-1113588,medium
6960,12-1113603,high
6961,12-1113608,high
6962,12-1113611,low
6963,12-1113613,high
6964,12-1113614,high
6965,12-1113616,high
6966,12-1114503,medium
6967,12-1114516,high
6968,12-1114524,medium
6969,12-1114533,medium
6970,12-1114535,high
6971,12-1114550,medium
6972,12-1114553,medium
6973,12-1114557,low
6974,12-1114559,low
6975,12-1115512,low
6976,12-1115515,high
6977,12-1115522,medium
6978,12-1115523,medium
6979,12-1115525,low
6980,12-1115532,low
6981,12-1115533,low
6982,12-1115547,high
6983,12-1116503,high
6984,12-1116514,low
6985,12-1117501,medium
6986,12-1117504,medium
6987,12-1117507,medium
6988,12-1117509,high
6989,12-1118502,medium
6990,12-1118503,low
6991,12-1119503,medium
6992,12-1119508,low
6993,12-1119523,medium
6994,12-1119527,medium
6995,12-1119529,medium
6996,12-1119540,high
6997,12-1119541,medium
6998,12-1119558,high
6999,12-1119569,low
7000,12-1119571,low
7001,12-1119573,medium
7002,12-1119576,low
7003,12-1119601,low
7004,12-1119603,low
7005,12-1119609,high
7006,12-1119618,medium
7007,12-1120515,high
7008,12-1120519,medium
7009,12-1120528,low
7010,12-1120539,medium
7011,12-1120549,low
7012,12-1120550,high
7013,12-1120555,low
7014,12-1121551,high
7015,12-1121580,high
7016,12-1121612,medium
7017,12-1122507,medium
7018,12-1122515,low
7019,12-1122517,high
7020,12-1123506,low
7021,12-1123510,high
7022,12-1123523,low
7023,12-1123527,low
7024,12-1123531,high
7025,12-1123532,low
7026,12-1123537,medium
7027,12-1123538,low
7028,12-1124503,low
7029,12-1124515,medium
7030,12-1124522,high
7031,12-1124556,high
7032,12-1124564,low
7033,12-1124570,medium
7034,12-1125507,medium
7035,12-1125516,high
7036,12-1126503,low
7037,12-1126505,medium
7038,12-1126509,low
7039,12-1126513,low
7040,12-1126522,high
7041,12-1127506,medium
7042,12-1127510,high
7043,12-1128504,medium
7044,12-1128509,high
7045,12-1128513,medium
7046,12-1128517,low
7047,12-1128518,medium
7048,12-1128531,low
7049,12-1128535,low
7050,12-1128536,high
7051,12-1128547,medium
7052,12-1129504,medium
7053,12-1130509,medium
7054,12-1130513,low
7055,12-1130518,low
7056,12-1130522,medium
7057,12-1130524,low
7058,12-1130526,medium
7059,12-1130527,low
7060,12-1130537,medium
7061,12-1130540,low
7062,12-1130546,low
7063,12-1130551,medium
7064,12-1130559,high
7065,12-1131521,high
7066,12-1131522,low
7067,12-1131543,low
7068,12-1131552,medium
7069,12-1131554,low
7070,12-1131555,low
7071,12-1131567,low
7072,12-1131569,low
7073,12-1131577,low
7074,12-1131583,low
7075,12-1132501,medium
7076,12-1132507,high
7077,12-1132510,medium
7078,12-1134518,medium
7079,12-1134524,high
7080,12-1135505,high
7081,12-1135507,low
7082,12-1135512,medium
7083,12-1135514,medium
7084,12-1135523,high
7085,12-1135528,medium
7086,12-1135529,high
7087,12-1135548,high
7088,12-1135552,low
7089,12-1135559,medium
7090,12-1136507,medium
7091,12-1136517,high
7092,12-1136519,low
7093,12-1136535,low
7094,12-1137518,medium
7095,12-1137527,low
7096,12-1137530,high
7097,12-1137531,low
7098,12-1137538,low
7099,12-1137541,high
7100,12-1138508,low
7101,12-1138510,medium
7102,12-1138537,low
7103,12-1139519,high
7104,12-1139532,medium
7105,12-1139533,low
7106,12-1139543,medium
7107,12-1140501,low
7108,12-1140502,low
7109,12-1141514,low
7110,12-1141532,medium
7111,12-1143505,medium
7112,12-1143512,medium
7113,12-1143523,medium
7114,12-1143528,low
7115,12-1144501,low
7116,12-1144526,high
7117,12-1144530,high
7118,12-1144536,low
7119,12-1144537,high
7120,12-1144538,medium
7121,12-1144551,low
7122,12-1145504,low
7123,12-1145505,medium
7124,12-1145507,high
7125,12-1145519,low
7126,12-1146516,high
7127,12-1146517,low
7128,12-1146520,low
7129,12-1146534,low
7130,12-1146539,high
7131,12-1146544,high
7132,12-1146567,high
7133,12-1146569,low
7134,12-1146575,high
7135,12-1146577,medium
7136,12-1146580,high
7137,12-1146581,high
7138,12-1147519,high
7139,12-1147527,high
7140,12-1147528,medium
7141,12-1147539,high
7142,12-1147547,medium
7143,12-1147570,medium
7144,12-1147582,high
7145,12-1147610,low
7146,12-1147635,medium
7147,12-1147670,high
7148,12-1148506,high
7149,12-1148514,high
7150,12-1148531,medium
7151,12-1148535,high
7152,12-1148543,medium
7153,12-1148547,low
7154,12-1149505,high
7155,12-1149515,medium
7156,12-1149524,medium
7157,12-1149527,high
7158,12-1149529,low
7159,12-1149545,low
7160,12-1149559,high
7161,12-1150528,medium
7162,12-1151501,low
7163,12-1151507,medium
7164,12-1151514,medium
7165,12-1151518,high
7166,12-1151540,medium
7167,12-1151552,low
7168,12-1151553,medium
7169,12-1151559,low
7170,12-1151571,low
7171,12-1151572,medium
7172,12-1152518,low
7173,12-1152519,high
7174,12-1153507,medium
7175,12-1153512,medium
7176,12-1153517,high
7177,12-1153529,low
7178,12-1153532,high
7179,12-1153537,high
7180,12-1153542,medium
7181,12-1153550,medium
7182,12-1153551,high
7183,12-1153553,high
7184,12-1153555,medium
7185,12-1155503,low
7186,12-1155521,low
7187,12-1155526,low
7188,12-1156516,low
7189,12-1156521,high
7190,12-1156527,low
7191,12-1156532,low
7192,12-1156533,low
7193,12-1156537,low
7194,12-1156555,medium
7195,12-1156565,low
7196,12-1156567,low
7197,12-1157506,medium
7198,12-1157512,medium
7199,12-1157516,medium
7200,12-1158504,low
7201,12-1158508,high
7202,12-1158511,medium
7203,12-1158512,medium
7204,12-1159513,medium
7205,12-1159514,high
7206,12-1159544,medium
7207,12-1159559,medium
7208,12-1159560,medium
7209,12-1160518,medium
7210,12-1160527,medium
7211,12-1160532,high
7212,12-1160535,medium
7213,12-1160561,high
7214,12-1160562,medium
7215,12-1160564,high
7216,12-1161507,high
7217,12-1161516,low
7218,12-1161521,low
7219,12-1162505,high
7220,12-1162511,high
7221,12-1162536,medium
7222,12-1162538,medium
7223,12-1162545,low
7224,12-1162546,low
7225,12-1163502,medium
7226,12-1163505,high
7227,12-1163522,high
7228,12-1163529,high
7229,12-1163550,medium
7230,12-1163558,medium
7231,12-1163573,high
7232,12-1163577,high
7233,12-1164508,medium
7234,12-1164514,low
7235,12-1164520,medium
7236,12-1164534,low
7237,12-1165504,low
7238,12-1165505,medium
7239,12-1165506,high
7240,12-1165512,high
7241,12-1166507,high
7242,12-1166513,medium
7243,12-1167503,medium
7244,12-1167520,medium
7245,12-1167522,high
7246,12-1168503,high
7247,12-1168507,medium
7248,12-1168509,high
7249,12-1168510,high
7250,12-1169503,medium
7251,12-1169509,high
7252,12-1169521,high
7253,12-1170502,high
7254,12-1170517,low
7255,12-1170523,low
7256,12-1170526,high
7257,12-1170527,high
7258,12-1170541,high
7259,12-1170552,low
7260,12-1171502,low
7261,12-1171512,low
7262,12-1171515,low
7263,12-1171542,low
7264,12-1171545,high
7265,12-1172502,medium
7266,12-1172508,high
7267,12-1172511,high
7268,12-1172514,medium
7269,12-1172527,high
7270,12-1172548,low
7271,12-1172563,high
7272,12-1172569,low
7273,12-1173511,low
7274,12-1173512,low
7275,12-1173516,low
7276,12-1174503,medium
7277,12-1174506,high
7278,12-1174507,medium
7279,12-1174511,high
7280,12-1174515,low
7281,12-1174523,low
7282,12-1174533,medium
7283,12-1174536,medium
7284,12-1174554,low
7285,12-1175533,low
7286,12-1175535,medium
7287,12-1175595,high
7288,12-1175604,medium
7289,12-1175606,low
7290,12-1175620,high
7291,12-1175625,high
7292,12-1175633,low
7293,12-1176502,low
7294,12-1176509,high
7295,12-1176517,low
7296,12-1176520,medium
7297,12-1177516,high
7298,12-1177524,medium
7299,12-1177525,high
7300,12-1177533,high
7301,12-1177553,high
7302,12-1177555,high
7303,12-1177570,medium
7304,12-1178501,medium
7305,12-1178508,high
7306,12-1178515,low
7307,12-1178523,high
7308,12-1179504,high
7309,12-1179523,medium
7310,12-1179525,medium
7311,12-1179530,medium
7312,12-1179538,low
7313,12-1180503,high
7314,12-1180505,medium
7315,12-1180530,medium
7316,12-1181501,low
7317,12-1181509,low
7318,12-1182501,medium
7319,12-1182504,medium
7320,12-1182512,high
7321,12-1183508,high
7322,12-1183517,low
7323,12-1183524,medium
7324,12-1183525,high
7325,12-1183540,medium
7326,12-1183551,low
7327,12-1184503,low
7328,12-1184524,high
7329,12-1184526,high
7330,12-1184530,high
7331,12-1185506,high
7332,12-1185521,low
7333,12-1185526,medium
7334,12-1185527,high
7335,12-1185535,medium
7336,12-1185537,medium
7337,12-1185538,low
7338,12-1186506,low
7339,12-1186511,medium
7340,12-1186524,low
7341,12-1186527,high
7342,12-1186528,high
7343,12-1186534,medium
7344,12-1186536,high
7345,12-1187510,medium
7346,12-1187516,low
7347,12-1187518,high
7348,12-1188504,high
7349,12-1188512,high
7350,12-1188522,medium
7351,12-1188527,high
7352,12-1188534,high
7353,12-1189507,low
7354,12-1189518,low
7355,12-1189537,medium
7356,12-1189538,high
7357,12-1190501,high
7358,12-1190503,medium
7359,12-1190509,medium
7360,12-1190513,medium
7361,12-1190518,medium
7362,12-1190522,low
7363,12-1190526,high
7364,12-1191513,medium
7365,12-1191520,high
7366,12-1191525,high
7367,12-1192505,medium
7368,12-1192507,high
7369,12-1192509,low
7370,12-1192518,medium
7371,12-1192522,high
7372,12-1192525,low
7373,12-1192530,medium
7374,12-1193512,medium
7375,12-1193513,medium
7376,12-1193520,low
7377,12-1193521,low
7378,12-1193522,low
7379,12-1194501,medium
7380,12-1194506,high
7381,12-1194508,medium
7382,12-1194509,high
7383,12-1195526,high
7384,12-1195536,high
7385,12-1196508,high
7386,12-1196511,medium
7387,12-1196542,medium
7388,12-1196545,high
7389,12-1196551,low
7390,12-1196562,high
7391,12-1196563,high
7392,12-1196578,medium
7393,12-1197507,medium
7394,12-1197513,medium
7395,12-1197523,low
7396,12-1197535,low
7397,12-1197539,medium
7398,12-1198520,medium
7399,12-1198527,low
7400,12-1198554,medium
7401,12-1198590,low
7402,12-1198600,medium
7403,12-1198608,high
7404,12-1198610,high
7405,12-1198611,high
7406,12-1198621,high
7407,12-1198630,high
7408,12-1198633,medium
7409,12-1198635,low
7410,12-1198643,high
7411,12-1199505,medium
7412,12-1199518,medium
7413,12-1199525,high
7414,12-1199540,high
7415,12-1199550,low
7416,12-1199551,low
7417,12-1199554,low
7418,12-1199564,low
7419,12-1199577,high
7420,12-1199584,low
7421,12-1200506,medium
7422,12-1200509,medium
7423,12-1200530,medium
7424,12-1200532,medium
7425,12-1201501,low
7426,12-1201503,medium
7427,12-1201505,medium
7428,12-1201506,low
7429,12-1201507,high
7430,12-1202505,medium
7431,12-1202509,low
7432,12-1202513,medium
7433,12-1202517,medium
7434,12-1202528,medium
7435,12-1202539,low
7436,12-1202544,medium
7437,12-1202554,high
7438,12-1202555,high
7439,12-1202565,medium
7440,12-1202578,medium
7441,12-1202589,medium
7442,12-1203502,medium
7443,12-1203505,high
7444,12-1203506,high
7445,12-1203507,high
7446,12-1203513,low
7447,12-1203515,medium
7448,12-1203516,low
7449,12-1203525,low
7450,12-1203526,medium
7451,12-1204501,medium
7452,12-1204506,high
7453,12-1204507,low
7454,12-1204511,high
7455,12-1204517,medium
7456,12-1204518,high
7457,12-1204528,low
7458,12-1205509,low
7459,12-1205517,low
7460,12-1206507,low
7461,12-1206522,low
7462,12-1206538,high
7463,12-1206543,high
7464,12-1206548,high
7465,12-1207503,high
7466,12-1207514,medium
7467,12-1207526,low
7468,12-1207528,medium
7469,12-1207530,low
7470,12-1207539,medium
7471,12-1208519,low
7472,12-1208523,low
7473,12-1208530,high
7474,12-1209505,high
7475,12-1209513,high
7476,12-1209518,high
7477,12-1209519,high
7478,12-1209522,medium
7479,12-1209523,high
7480,12-1210501,high
7481,12-1210507,medium
7482,12-1210511,high
7483,12-1210512,high
7484,12-1210515,medium
7485,12-1210527,high
7486,12-1210528,high
7487,12-1211511,medium
7488,12-1211513,high
7489,12-1211527,medium
7490,12-1211531,medium
7491,12-1211536,high
7492,12-1211556,low
7493,12-1212505,high
7494,12-1212517,medium
7495,12-1212529,medium
7496,12-1212534,medium
7497,12-1212547,medium
7498,12-1212553,high
7499,12-1212563,medium
7500,12-1212576,high
7501,12-1212579,high
7502,12-1212581,medium
7503,12-1212596,high
7504,12-1213534,high
7505,12-1213553,high
7506,12-1213555,medium
7507,12-1214525,medium
7508,12-1214532,high
7509,12-1214533,high
7510,12-1214537,high
7511,12-1214549,low
7512,12-1214551,medium
7513,12-1215509,medium
7514,12-1215513,low
7515,12-1215530,low
7516,12-1215588,low
7517,12-1215591,low
7518,12-1216501,low
7519,12-1216515,low
7520,12-1216517,high
7521,12-1216521,medium
7522,12-1216525,medium
7523,12-1217519,medium
7524,12-1217520,low
7525,12-1217523,high
7526,12-1217528,low
7527,12-1217531,low
7528,12-1218511,low
7529,12-1218515,low
7530,12-1218517,low
7531,12-1219521,low
7532,12-1219529,medium
7533,12-1219539,medium
7534,12-1219544,medium
7535,12-1219546,high
7536,12-1219550,high
7537,12-1219554,high
7538,12-1219573,medium
7539,12-1219579,low
7540,12-1219587,low
7541,12-1219593,medium
7542,12-1220504,high
7543,12-1220511,high
7544,12-1220516,high
7545,12-1220525,high
7546,12-1221504,low
7547,12-1221506,medium
7548,12-1221516,high
7549,12-1221545,low
7550,12-1222506,low
7551,12-1222507,low
7552,12-1222509,medium
7553,12-1222513,medium
7554,12-1222520,low
7555,12-1223508,low
7556,12-1223515,medium
7557,12-1224502,low
7558,12-1224508,low
7559,12-1224513,low
7560,12-1225518,medium
7561,12-1225519,medium
7562,12-1225525,low
7563,12-1225529,low
7564,12-1225544,high
7565,12-1225550,medium
7566,12-1225552,high
7567,12-1225560,low
7568,12-1226501,medium
7569,12-1226512,low
7570,12-1226517,low
7571,12-1226531,low
7572,12-1226535,low
7573,12-1226551,low
7574,12-1227509,high
7575,12-1227514,high
7576,12-1227524,medium
7577,12-1227525,medium
7578,12-1227542,low
7579,12-1227556,medium
7580,12-1228505,medium
7581,12-1228509,medium
7582,12-1228512,medium
7583,12-1228524,medium
7584,12-1228533,medium
7585,12-1228538,low
7586,12-1228543,medium
7587,12-1228554,medium
7588,12-1228556,medium
7589,12-1228561,medium
7590,12-1229501,medium
7591,12-1229524,high
7592,12-1230511,low
7593,12-1230520,high
7594,12-1230523,high
7595,12-1230533,high
7596,12-1231504,medium
7597,12-1231520,low
7598,12-1231525,medium
7599,12-1231527,high
7600,12-1231534,high
7601,12-1231536,high
7602,12-1232508,low
7603,12-1232517,high
7604,12-1233507,medium
7605,12-1233520,low
7606,12-1233525,high
7607,12-1233527,low
7608,12-1233529,high
7609,12-1233530,medium
7610,12-1233585,high
7611,12-1233602,low
7612,12-1233607,high
7613,12-1233609,low
7614,12-1233623,high
7615,12-1233629,medium
7616,12-1233647,low
7617,12-1233652,low
7618,12-1233656,medium
7619,12-1233660,low
7620,12-1233667,medium
7621,12-1233671,medium
7622,12-1233675,high
7623,12-1233682,medium
7624,12-1233683,medium
7625,12-1233725,medium
7626,12-1233727,low
7627,12-1233734,low
7628,12-1233736,low
7629,12-1233742,low
7630,12-1233752,medium
7631,12-1234504,high
7632,12-1234506,low
7633,12-1234510,high
7634,12-1235515,high
7635,12-1235517,high
7636,12-1235518,high
7637,12-1235526,high
7638,12-1236501,low
7639,12-1236507,low
7640,12-1236519,high
7641,12-1236531,low
7642,12-1237521,medium
7643,12-1237531,medium
7644,12-1237538,high
7645,12-1237544,high
7646,12-1237547,low
7647,12-1238503,medium
7648,12-1238504,medium
7649,12-1238508,high
7650,12-1238514,medium
7651,12-1238524,medium
7652,12-1238527,medium
7653,12-1238531,high
7654,12-1238539,low
7655,12-1238541,low
7656,12-1238545,high
7657,12-1239501,medium
7658,12-1239503,high
7659,12-1239516,high
7660,12-1240503,high
7661,12-1240514,medium
7662,12-1240517,medium
7663,12-1240521,low
7664,12-1240530,high
7665,12-1240533,medium
7666,12-1240540,low
7667,12-1240541,high
7668,12-1240546,high
7669,12-1240551,high
7670,12-1241503,low
7671,12-1241504,low
7672,12-1241514,high
7673,12-1241529,medium
7674,12-1241532,medium
7675,12-1241536,low
7676,12-1241550,medium
7677,12-1242501,medium
7678,12-1242502,low
7679,12-1242505,low
7680,12-1242509,high
7681,12-1242510,low
7682,12-1242511,medium
7683,12-1242514,low
7684,12-1242530,medium
7685,12-1242532,low
7686,12-1242539,medium
7687,12-1242544,medium
7688,12-1242545,medium
7689,12-1242556,high
7690,12-1243507,medium
7691,12-1243513,low
7692,12-1243516,high
7693,12-1243522,high
7694,12-1243525,high
7695,12-1243543,low
7696,12-1243547,high
7697,12-1243549,high
7698,12-1244501,high
7699,12-1244520,high
7700,12-1244523,low
7701,12-1244541,high
7702,12-1244543,medium
7703,12-1245503,high
7704,12-1245506,low
7705,12-1245509,high
7706,12-1245521,high
7707,12-1246501,low
7708,12-1246517,low
7709,12-1246536,medium
7710,12-1246541,medium
7711,12-1246551,high
7712,12-1246554,medium
7713,12-1246555,medium
7714,12-1246557,low
7715,12-1246559,low
7716,12-1247511,high
7717,12-1247513,high
7718,12-1247534,medium
7719,12-1247539,high
7720,12-1247545,medium
7721,12-1247547,medium
7722,12-1247563,medium
7723,12-1248507,high
7724,12-1248517,medium
7725,12-1248519,medium
7726,12-1248520,medium
7727,12-1248522,high
7728,12-1248530,medium
7729,12-1248531,medium
7730,12-1248534,medium
7731,12-1249502,medium
7732,12-1249504,medium
7733,12-1249508,medium
7734,12-1249510,low
7735,12-1249516,medium
7736,12-1249520,low
7737,12-1249525,low
7738,12-1249532,medium
7739,12-1250503,medium
7740,12-1250527,medium
7741,12-1251509,high
7742,12-1251510,high
7743,12-1252501,high
7744,12-1252503,high
7745,12-1253504,medium
7746,12-1253506,medium
7747,12-1253509,medium
7748,12-1253526,medium
7749,12-1253529,low
7750,12-1253530,low
7751,12-1253538,high
7752,12-1253545,low
7753,12-1253550,medium
7754,12-1254505,low
7755,12-1254507,high
7756,12-1255504,low
7757,12-1255530,low
7758,12-1255534,medium
7759,12-1255539,low
7760,12-1255541,low
7761,12-1255547,low
7762,12-1255551,medium
7763,12-1256503,medium
7764,12-1256511,high
7765,12-1257502,medium
7766,12-1257513,low
7767,12-1258502,high
7768,12-1258505,low
7769,12-1259507,medium
7770,12-1259522,low
7771,12-1259538,medium
7772,12-1259545,medium
7773,12-1260502,high
7774,12-1260506,medium
7775,12-1260513,high
7776,12-1260516,high
7777,12-1260528,high
7778,12-1260530,high
7779,12-1260535,high
7780,12-1260537,medium
7781,12-1261503,high
7782,12-1261514,high
7783,12-1261523,medium
7784,12-1261539,medium
7785,12-1261540,low
7786,12-1261542,high
7787,12-1261547,high
7788,12-1261552,high
7789,12-1261555,medium
7790,12-1261586,medium
7791,12-1261590,high
7792,12-1262502,medium
7793,12-1262506,high
7794,12-1262510,low
7795,12-1262531,medium
7796,12-1262541,high
7797,12-1262543,medium
7798,12-1263530,high
7799,12-1263549,high
7800,12-1263555,high
7801,12-1263560,medium
7802,12-1263570,high
7803,12-1263585,medium
7804,12-1263616,high
7805,12-1263617,high
7806,12-1263620,high
7807,12-1263627,high
7808,12-1263631,high
7809,12-1264505,medium
7810,12-1264507,high
7811,12-1264531,high
7812,12-1265509,high
7813,12-1265511,medium
7814,12-1266501,high
7815,12-1266502,medium
7816,12-1266503,high
7817,12-1266504,high
7818,12-1267506,medium
